Title,Price,Location,Condition
iPhone 6 s srebrny 16 GB,110,Warszawa,Używane
iPhone 12 Mini Idealny,700,Mirzec ,Używane
Sprzedam iphone 12,1100,Katowice,Używane
Iphone 15 pro 91% kondycja baterii,3500,Warszawa,Używane
Używany iphone 11 pro,500,Warszawa,Używane
NOWE iPhone 15 Pro Max 256GB Biały Naturalny Tytan AL JANA PAWŁA,4699,Warszawa,Nowe
"Apple Iphone Xr 64 GB biały, 11, 12",500,Nowy Targ ,Używane
IPhone XR 128 GB,630,Przecław ,Używane
iPhone X 100% kondycji,400,Mirzec ,Używane
iPhone 15 128 GB,2100,Oblin ,Używane
Iphone 15 Pro | Tytan Naturalny | Gwarancja,3400,Glinno ,Używane
"Iphone 16 pro max 256gb black titanium, FABRYCZNIE NOWY, Wawa",4999,Warszawa,Nowe
iPhone 11 Pro Max 64gb Space Grey,2000,Warszawa,Używane
IPhone 15 czarny,2100,Gubin ,Używane
Iphone 11 128gb 71% kondycja baterii,450,Gliwice,Używane
"Nowy IPhone 13pro, niebieski",4600,Limanowa ,Nowe
Iphone 13 Red 128  Gb,900,Marki ,Używane
iPhone 7 Apple telefon,400,Warszawa,Używane
Iphone 15 pro max jak nowy,3400,Jarosław ,Używane
iPhone 16 128GB Biały,2900,Wieliczka ,Używane
